Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Michael Penix Jr.,WASH,['QB'],['182'],['257'],['70.8'],"['2,576']",['10.0'],['57'],['20'],['5'],['4'],['176.8']
Jayden Daniels,LSU,['QB'],['163'],['223'],['73.1'],"['2,573']",['11.5'],['86'],['25'],['3'],['17'],['204.3']
Brayden Schager,HAW,['QB'],['217'],['342'],['63.5'],"['2,433']",['7.1'],['65'],['20'],['11'],['28'],['136.1']
Shedeur Sanders,COLO,['QB'],['219'],['303'],['72.3'],"['2,420']",['8.0'],['75'],['21'],['3'],['34'],['160.3']
Austin Reed,WKU,['QB'],['204'],['338'],['60.4'],"['2,280']",['6.7'],['70'],['20'],['5'],['4'],['133.6']
Caleb Williams,USC,['QB'],['166'],['237'],['70.0'],"['2,277']",['9.6'],['76'],['23'],['4'],['20'],['179.4']
Brady Cook,MIZ,['QB'],['169'],['242'],['69.8'],"['2,259']",['9.3'],['76'],['15'],['3'],['13'],['166.2']
Drake Maye,UNC,['QB'],['170'],['260'],['65.4'],"['2,249']",['8.6'],['77'],['14'],['5'],['18'],['152.0']
Cameron Ward,WSU,['QB'],['181'],['259'],['69.9'],"['2,217']",['8.6'],['63'],['15'],['3'],['19'],['158.6']
Brayden Fowler-Nicolosi,CSU,['QB'],['182'],['285'],['63.9'],"['2,179']",['7.6'],['76'],['15'],['11'],['8'],['137.7']
JT Daniels,RICE,['QB'],['155'],['243'],['63.8'],"['2,173']",['8.9'],['80'],['17'],['5'],['11'],['157.9']
Nicholas Vattiato,MTSU,['QB'],['201'],['295'],['68.1'],"['2,156']",['7.3'],['72'],['15'],['8'],['24'],['140.9']
Carson Beck,UGA,['QB'],['173'],['235'],['73.6'],"['2,147']",['9.1'],['54'],['12'],['4'],['5'],['163.8']
Dillon Gabriel,OU,['QB'],['166'],['233'],['71.2'],"['2,131']",['9.1'],['55'],['19'],['3'],['8'],['172.4']
Davis Brin,GASO,['QB'],['217'],['325'],['66.8'],"['2,122']",['6.5'],['68'],['14'],['11'],['15'],['129.1']
Bo Nix,ORE,['QB'],['182'],['232'],['78.4'],"['2,089']",['9.0'],['72'],['19'],['1'],['4'],['180.2']
Donovan Smith,HOU,['QB'],['177'],['265'],['66.8'],"['1,979']",['7.5'],['53'],['16'],['4'],['18'],['146.4']
Spencer Rattler,SC,['QB'],['165'],['233'],['70.8'],"['1,941']",['8.3'],['76'],['11'],['5'],['29'],['152.1']
TJ Finley,TXST,['QB'],['153'],['222'],['68.9'],"['1,941']",['8.7'],['89'],['14'],['3'],['15'],['160.5']
Kyle McCord,OSU,['QB'],['131'],['205'],['63.9'],"['1,937']",['9.4'],['75'],['12'],['1'],['9'],['161.6']
Taulia Tagovailoa,MD,['QB'],['159'],['249'],['63.9'],"['1,926']",['7.7'],['64'],['16'],['5'],['8'],['146.0']
Grayson McCall,CCU,['QB'],['151'],['224'],['67.4'],"['1,919']",['8.6'],['63'],['10'],['6'],['12'],['148.7']
Quinn Ewers,TEX,['QB'],['151'],['213'],['70.9'],"['1,915']",['9.0'],['51'],['13'],['3'],['17'],['163.7']
Jacob Zeno,UAB,['QB'],['189'],['254'],['74.4'],"['1,905']",['7.5'],['75'],['12'],['6'],['17'],['148.3']
Jack Plummer,LOU,['QB'],['132'],['208'],['63.5'],"['1,901']",['9.1'],['85'],['13'],['8'],['15'],['153.2']
Graham Mertz,FLA,['QB'],['170'],['223'],['76.2'],"['1,897']",['8.5'],['50'],['12'],['2'],['19'],['163.7']
Diego Pavia,NMSU,['QB'],['127'],['208'],['61.1'],"['1,896']",['9.1'],['80'],['17'],['5'],['15'],['159.8']
Byrum Brown,USF,['QB'],['163'],['267'],['61.0'],"['1,865']",['7.0'],['88'],['12'],['6'],['29'],['130.1']
Seth Henigan,MEM,['QB'],['163'],['246'],['66.3'],"['1,856']",['7.5'],['59'],['15'],['7'],['14'],['144.1']
Jaxson Dart,MISS,['QB'],['117'],['184'],['63.6'],"['1,840']",['10.0'],['68'],['13'],['3'],['16'],['167.6']
Sam Hartman,ND,['QB'],['131'],['203'],['64.5'],"['1,838']",['9.1'],['76'],['18'],['3'],['11'],['166.9']
Haynes King,GT,['QB'],['133'],['223'],['59.6'],"['1,835']",['8.2'],['55'],['17'],['9'],['7'],['145.8']
J.J. McCarthy,MICH,['QB'],['132'],['169'],['78.1'],"['1,799']",['10.6'],['54'],['18'],['3'],['8'],['199.1']
Joey Aguilar,APP,['QB'],['139'],['226'],['61.5'],"['1,782']",['7.9'],['69'],['16'],['5'],['4'],['146.7']
Carter Bradley,USA,['QB'],['138'],['205'],['67.3'],"['1,775']",['8.7'],['84'],['11'],['5'],['14'],['152.9']
Preston Stone,SMU,['QB'],['136'],['234'],['58.1'],"['1,767']",['7.6'],['91'],['16'],['5'],['8'],['139.8']
Gunnar Watson,TROY,['QB'],['123'],['207'],['59.4'],"['1,766']",['8.5'],['64'],['11'],['4'],['13'],['144.8']
Chandler Rogers,UNT,['QB'],['143'],['220'],['65.0'],"['1,762']",['8.0'],['80'],['14'],['1'],['14'],['152.4']
Jordan Travis,FSU,['QB'],['142'],['218'],['65.1'],"['1,750']",['8.0'],['58'],['15'],['2'],['8'],['153.4']
E.J. Warner,TEM,['QB'],['153'],['271'],['56.5'],"['1,741']",['6.4'],['46'],['12'],['5'],['5'],['121.3']
Chevan Cordeiro,SJSU,['QB'],['148'],['243'],['60.9'],"['1,738']",['7.2'],['63'],['11'],['3'],['15'],['133.5']
Tyler Van Dyke,MIA,['QB'],['129'],['183'],['70.5'],"['1,721']",['9.4'],['64'],['16'],['6'],['6'],['171.8']
Jordan McCloud,JMU,['QB'],['121'],['186'],['65.1'],"['1,696']",['9.1'],['74'],['15'],['4'],['9'],['164.0']
Mikey Keene,FRES,['QB'],['159'],['232'],['68.5'],"['1,692']",['7.3'],['65'],['15'],['4'],['15'],['147.7']
Cade Klubnik,CLEM,['QB'],['155'],['244'],['63.5'],"['1,684']",['6.9'],['69'],['13'],['3'],['14'],['136.6']
Cam Fancher,MRSH,['QB'],['161'],['239'],['67.4'],"['1,679']",['7.0'],['65'],['7'],['6'],['19'],['131.0']
Luke Altmyer,ILL,['QB'],['151'],['239'],['63.2'],"['1,671']",['7.0'],['49'],['10'],['9'],['29'],['128.2']
Keyone Jenkins,FIU,['QB'],['122'],['204'],['59.8'],"['1,664']",['8.2'],['64'],['6'],['7'],['26'],['131.2']
Kaidon Salter,LIB,['QB'],['98'],['167'],['58.7'],"['1,662']",['10.0'],['75'],['19'],['3'],['8'],['176.2']
Brett Gabbert,M-OH,['QB'],['111'],['187'],['59.4'],"['1,634']",['8.7'],['99'],['14'],['5'],['15'],['152.1']
Darren Grainger,GAST,['QB'],['130'],['187'],['69.5'],"['1,632']",['8.7'],['97'],['10'],['2'],['7'],['158.3']
Hudson Card,PUR,['QB'],['149'],['246'],['60.6'],"['1,617']",['6.6'],['84'],['7'],['5'],['17'],['121.1']
Jalen Milroe,ALA,['QB'],['99'],['153'],['64.7'],"['1,617']",['10.6'],['79'],['13'],['5'],['30'],['175.0']
DJ Uiagalelei,ORST,['QB'],['106'],['176'],['60.2'],"['1,573']",['8.9'],['75'],['15'],['4'],['6'],['158.9']
KJ Jefferson,ARK,['QB'],['143'],['219'],['65.3'],"['1,547']",['7.1'],['65'],['14'],['7'],['31'],['139.3']
Joe Milton III,TENN,['QB'],['140'],['223'],['62.8'],"['1,535']",['6.9'],['55'],['12'],['4'],['11'],['134.8']
Cole Snyder,BUFF,['QB'],['158'],['270'],['58.5'],"['1,532']",['5.7'],['51'],['12'],['7'],['12'],['115.7']
Kedon Slovis,BYU,['QB'],['128'],['226'],['56.6'],"['1,519']",['6.7'],['65'],['12'],['4'],['10'],['127.1']
Chandler Morris,TCU,['QB'],['131'],['199'],['65.8'],"['1,513']",['7.6'],['59'],['12'],['5'],['11'],['144.6']
Emory Jones,CIN,['QB'],['133'],['217'],['61.3'],"['1,484']",['6.8'],['49'],['13'],['8'],['14'],['131.1']
Will Howard,KSU,['QB'],['122'],['198'],['61.6'],"['1,464']",['7.4'],['61'],['12'],['7'],['8'],['136.7']
Rocco Becht,ISU,['QB'],['123'],['205'],['60.0'],"['1,464']",['7.1'],['75'],['12'],['5'],['4'],['134.4']
Drew Allar,PSU,['QB'],['136'],['223'],['61.0'],"['1,445']",['6.5'],['72'],['13'],['0'],['8'],['134.7']
Dequan Finn,TOL,['QB'],['119'],['188'],['63.3'],"['1,425']",['7.6'],['68'],['14'],['5'],['3'],['146.2']
Thomas Castellanos,BC,['QB'],['104'],['181'],['57.5'],"['1,398']",['7.7'],['52'],['10'],['6'],['9'],['133.9']
Devin Leary,UK,['QB'],['106'],['195'],['54.4'],"['1,377']",['7.1'],['59'],['14'],['7'],['11'],['130.2']
Garrett Shrader,SYR,['QB'],['111'],['179'],['62.0'],"['1,371']",['7.7'],['86'],['8'],['5'],['17'],['135.5']
Dylan Hopkins,UNM,['QB'],['104'],['176'],['59.1'],"['1,367']",['7.8'],['78'],['10'],['4'],['10'],['138.5']
Rocky Lombardi,NIU,['QB'],['118'],['202'],['58.4'],"['1,360']",['6.7'],['64'],['6'],['4'],['13'],['120.8']
Kurtis Rourke,OHIO,['QB'],['122'],['194'],['62.9'],"['1,343']",['6.9'],['50'],['9'],['5'],['4'],['131.2']
Cooper Legas,USU,['QB'],['101'],['153'],['66.0'],"['1,338']",['8.7'],['76'],['13'],['6'],['12'],['159.7']
Jalen Mayden,SDSU,['QB'],['123'],['200'],['61.5'],"['1,332']",['6.7'],['69'],['6'],['6'],['14'],['121.3']
Dante Moore,UCLA,['QB'],['87'],['168'],['51.8'],"['1,330']",['7.9'],['81'],['10'],['7'],['19'],['129.6']
Keegan Shoemaker,SHSU,['QB'],['138'],['221'],['62.4'],"['1,322']",['6.0'],['56'],['8'],['6'],['8'],['119.2']
Jayden Maiava,UNLV,['QB'],['100'],['154'],['64.9'],"['1,313']",['8.5'],['82'],['5'],['2'],['5'],['144.7']
Alan Bowman,OKST,['QB'],['124'],['212'],['58.5'],"['1,294']",['6.1'],['60'],['6'],['4'],['4'],['115.3']
AJ Swann,VAN,['QB'],['93'],['173'],['53.8'],"['1,290']",['7.5'],['56'],['11'],['7'],['9'],['129.3']
Will Rogers,MSST,['QB'],['105'],['171'],['61.4'],"['1,275']",['7.5'],['65'],['10'],['4'],['14'],['138.7']
Billy Wiles,USM,['QB'],['109'],['205'],['53.2'],"['1,259']",['6.1'],['43'],['7'],['5'],['13'],['111.1']
Blake Shapen,BAY,['QB'],['89'],['145'],['61.4'],"['1,236']",['8.5'],['71'],['5'],['0'],['15'],['144.4']
Ashton Daniels,STAN,['QB'],['102'],['170'],['60.0'],"['1,225']",['7.2'],['97'],['8'],['3'],['14'],['132.5']
Jase Bauer,CMU,['QB'],['115'],['197'],['58.4'],"['1,221']",['6.2'],['70'],['5'],['6'],['10'],['112.7']
Mitch Griffis,WAKE,['QB'],['100'],['169'],['59.2'],"['1,211']",['7.2'],['69'],['9'],['6'],['24'],['129.8']
Frank Harris,UTSA,['QB'],['114'],['171'],['66.7'],"['1,193']",['7.0'],['42'],['9'],['5'],['6'],['136.8']
Garrett Greene,WVU,['QB'],['71'],['136'],['52.2'],"['1,184']",['8.7'],['70'],['8'],['2'],['3'],['141.8']
Hank Bachmeier,LT,['QB'],['106'],['157'],['67.5'],"['1,172']",['7.5'],['64'],['7'],['2'],['17'],['142.4']
Jaylen Raynor,ARST,['QB'],['69'],['114'],['60.5'],"['1,156']",['10.1'],['68'],['12'],['3'],['11'],['175.2']
Ta'Quan Roberson,CONN,['QB'],['104'],['175'],['59.4'],"['1,145']",['6.5'],['59'],['8'],['3'],['5'],['126.0']
Gavin Wimsatt,RUTG,['QB'],['91'],['181'],['50.3'],"['1,134']",['6.3'],['69'],['7'],['4'],['7'],['111.2']
Tanner Mordecai,WIS,['QB'],['114'],['179'],['63.7'],"['1,127']",['6.3'],['45'],['3'],['3'],['8'],['118.8']
Michael Pratt,TULN,['QB'],['80'],['113'],['70.8'],"['1,121']",['9.9'],['48'],['12'],['2'],['5'],['185.6']
Austin Smith,EMU,['QB'],['108'],['190'],['56.8'],"['1,103']",['5.8'],['50'],['6'],['5'],['22'],['110.8']
Noah Kim,MSU,['QB'],['91'],['160'],['56.9'],"['1,090']",['6.8'],['72'],['6'],['6'],['5'],['119.0']
Jayden de Laura,ARIZ,['QB'],['87'],['125'],['69.6'],"['1,069']",['8.6'],['55'],['9'],['5'],['6'],['157.2']
Cardell Williams,TLSA,['QB'],['69'],['116'],['59.5'],"['1,056']",['9.1'],['80'],['9'],['7'],['14'],['149.5']
Daniel Richardson,FAU,['QB'],['116'],['183'],['63.4'],"['1,044']",['5.7'],['47'],['5'],['6'],['11'],['113.8']
Kyron Drones,VT,['QB'],['87'],['150'],['58.0'],"['1,042']",['6.9'],['75'],['6'],['1'],['12'],['128.2']
Taylen Green,BOIS,['QB'],['79'],['149'],['53.0'],"['1,041']",['7.0'],['59'],['5'],['5'],['4'],['116.1']
Grant Wilson,ODU,['QB'],['68'],['124'],['54.8'],"['1,026']",['8.3'],['78'],['8'],['5'],['28'],['137.6']
Jack Turner,LT,['QB'],['83'],['143'],['58.0'],"['1,011']",['7.1'],['85'],['5'],['5'],['4'],['122.0']
Timmy McClain,UCF,['QB'],['62'],['97'],['63.9'],"['1,008']",['10.4'],['69'],['9'],['2'],['10'],['177.7']
Brendon Lewis,NEV,['QB'],['101'],['181'],['55.8'],"['1,005']",['5.6'],['73'],['2'],['6'],['18'],['99.5']
Riley Leonard,DUKE,['QB'],['86'],['142'],['60.6'],['981'],['6.9'],['34'],['3'],['2'],['3'],['122.7']
Conner Weigman,TA&M,['QB'],['82'],['119'],['68.9'],['979'],['8.2'],['44'],['8'],['2'],['3'],['156.8']
Brennan Armstrong,NCSU,['QB'],['94'],['160'],['58.8'],['971'],['6.1'],['64'],['5'],['6'],['8'],['112.5']
Andrew Peasley,WYO,['QB'],['84'],['142'],['59.2'],['970'],['6.8'],['66'],['12'],['2'],['11'],['141.6']
Gavin Hardison,UTEP,['QB'],['73'],['129'],['56.6'],['947'],['7.3'],['51'],['5'],['7'],['14'],['120.2']
Noah Fifita,ARIZ,['QB'],['94'],['125'],['75.2'],['946'],['7.6'],['69'],['8'],['2'],['6'],['156.7']
Michael Alaimo,KENT,['QB'],['79'],['144'],['54.9'],['932'],['6.5'],['43'],['2'],['4'],['27'],['108.3']
Ben Bryant,NU,['QB'],['95'],['161'],['59.0'],['926'],['5.8'],['80'],['6'],['3'],['15'],['115.9']
Athan Kaliakmanis,MINN,['QB'],['86'],['161'],['53.4'],['923'],['5.7'],['39'],['6'],['6'],['11'],['106.4']
Anthony Colandrea,UVA,['QB'],['63'],['102'],['61.8'],['923'],['9.0'],['75'],['5'],['6'],['8'],['142.2']
Trenton Bourguet,ASU,['QB'],['90'],['145'],['62.1'],['922'],['6.4'],['66'],['1'],['3'],['5'],['113.6']
Tayven Jackson,IU,['QB'],['78'],['128'],['60.9'],['914'],['7.1'],['41'],['2'],['5'],['8'],['118.3']
Jason Bean,KU,['QB'],['62'],['95'],['65.3'],['913'],['9.6'],['58'],['9'],['2'],['5'],['173.0']
Zeon Chriss,UL,['QB'],['77'],['119'],['64.7'],['906'],['7.6'],['60'],['8'],['5'],['7'],['142.4']
Max Johnson,TA&M,['QB'],['67'],['118'],['56.8'],['898'],['7.6'],['37'],['7'],['4'],['10'],['133.5']
Connor Bazelak,BGSU,['QB'],['80'],['140'],['57.1'],['895'],['6.4'],['58'],['5'],['6'],['11'],['114.1']
McCae Hillstead,USU,['QB'],['69'],['119'],['58.0'],['890'],['7.5'],['76'],['10'],['7'],['11'],['136.8']
Carlos Davis,MASS,['QB'],['62'],['101'],['61.4'],['886'],['8.8'],['67'],['6'],['3'],['6'],['148.7']
Payton Thorne,AUB,['QB'],['80'],['130'],['61.5'],['845'],['6.5'],['47'],['5'],['5'],['17'],['121.1']
Ken Seals,VAN,['QB'],['65'],['105'],['61.9'],['836'],['8.0'],['85'],['8'],['2'],['5'],['150.1']
John Rhys Plumlee,UCF,['QB'],['57'],['91'],['62.6'],['834'],['9.2'],['86'],['5'],['4'],['4'],['149.0']
Phil Jurkovec,PITT,['QB'],['57'],['112'],['50.9'],['818'],['7.3'],['75'],['6'],['3'],['12'],['124.6']
Taisun Phommachanh,MASS,['QB'],['73'],['116'],['62.9'],['813'],['7.0'],['71'],['3'],['3'],['18'],['125.2']
Josh Hoover,TCU,['QB'],['73'],['123'],['59.3'],['795'],['6.5'],['42'],['6'],['5'],['3'],['121.6']
Tony Muskett,UVA,['QB'],['68'],['107'],['63.6'],['781'],['7.3'],['42'],['6'],['3'],['16'],['137.8']
Jiya Wright,ULM,['QB'],['69'],['127'],['54.3'],['775'],['6.1'],['45'],['7'],['6'],['10'],['114.3']
Tyler Shough,TTU,['QB'],['67'],['111'],['60.4'],['746'],['6.7'],['46'],['7'],['4'],['9'],['130.4']
DJ Irons,AKR,['QB'],['88'],['133'],['66.2'],['722'],['5.4'],['77'],['3'],['3'],['14'],['114.7']
Alex Flinn,ECU,['QB'],['72'],['143'],['50.3'],['718'],['5.0'],['39'],['2'],['6'],['13'],['88.7']
Heinrich Haarberg,NEB,['QB'],['58'],['113'],['51.3'],['716'],['6.3'],['56'],['5'],['4'],['9'],['112.1']
Treyson Bourguet,WMU,['QB'],['57'],['103'],['55.3'],['713'],['6.9'],['64'],['4'],['1'],['7'],['124.4']
Bryson Daily,ARMY,['QB'],['42'],['77'],['54.5'],['712'],['9.2'],['80'],['6'],['4'],['6'],['147.5']
Jalon Daniels,KU,['QB'],['56'],['75'],['74.7'],['705'],['9.4'],['59'],['5'],['1'],['5'],['173.0']
Hayden Wolff,WMU,['QB'],['73'],['106'],['68.9'],['698'],['6.6'],['49'],['4'],['2'],['6'],['132.9']
Behren Morton,TTU,['QB'],['68'],['119'],['57.1'],['696'],['5.8'],['34'],['8'],['2'],['7'],['125.1']
Christian Veilleux,PITT,['QB'],['52'],['98'],['53.1'],['647'],['6.6'],['46'],['5'],['2'],['2'],['121.3']
Sawyer Robertson,BAY,['QB'],['48'],['97'],['49.5'],['647'],['6.7'],['55'],['1'],['4'],['6'],['100.7']
Logan Smothers,JVST,['QB'],['59'],['103'],['57.3'],['642'],['6.2'],['37'],['5'],['2'],['6'],['121.8']
Zion Webb,JVST,['QB'],['53'],['105'],['50.5'],['639'],['6.1'],['63'],['2'],['3'],['6'],['102.2']
Bryson Barnes,UTAH,['QB'],['52'],['89'],['58.4'],['633'],['7.1'],['70'],['4'],['3'],['5'],['126.3']
Zac Larrier,AFA,['QB'],['24'],['33'],['72.7'],['619'],['18.8'],['94'],['5'],['0'],['4'],['280.3']
Trexler Ivey,CLT,['QB'],['49'],['86'],['57.0'],['601'],['7.0'],['51'],['2'],['4'],['10'],['114.0']
Jeff Undercuffler Jr.,AKR,['QB'],['60'],['96'],['62.5'],['598'],['6.2'],['39'],['2'],['6'],['11'],['109.2']
Maddux Madsen,BOIS,['QB'],['41'],['64'],['64.1'],['584'],['9.1'],['83'],['5'],['2'],['4'],['160.2']
Ben Finley,CAL,['QB'],['54'],['93'],['58.1'],['572'],['6.2'],['50'],['3'],['4'],['3'],['111.8']
Layne Hatcher,BALL,['QB'],['61'],['95'],['64.2'],['565'],['5.9'],['57'],['4'],['1'],['11'],['126.0']
Jalon Jones,CLT,['QB'],['55'],['90'],['61.1'],['564'],['6.3'],['48'],['2'],['4'],['9'],['112.2']
Sam Jackson V,CAL,['QB'],['51'],['96'],['53.1'],['556'],['5.8'],['36'],['5'],['2'],['5'],['114.8']
Tai Lavatai,NAVY,['QB'],['40'],['75'],['53.3'],['522'],['7.0'],['58'],['4'],['2'],['4'],['124.1']
Casey Thompson,FAU,['QB'],['50'],['79'],['63.3'],['509'],['6.4'],['72'],['5'],['5'],['3'],['125.6']
Ben Wooldridge,UL,['QB'],['39'],['69'],['56.5'],['508'],['7.4'],['50'],['5'],['1'],['3'],['139.4']
Cade McNamara,IOWA,['QB'],['46'],['90'],['51.1'],['505'],['5.6'],['36'],['4'],['3'],['8'],['106.2']
Nate Johnson,UTAH,['QB'],['39'],['72'],['54.2'],['499'],['6.9'],['49'],['3'],['0'],['8'],['126.1']
Grant Wells,VT,['QB'],['33'],['62'],['53.2'],['494'],['8.0'],['44'],['5'],['2'],['3'],['140.3']
Cade McConnell,UTEP,['QB'],['30'],['60'],['50.0'],['489'],['8.1'],['80'],['2'],['0'],['6'],['129.5']
Kai Horton,TULN,['QB'],['31'],['62'],['50.0'],['485'],['7.8'],['57'],['3'],['2'],['7'],['125.2']
Kadin Semonza,BALL,['QB'],['50'],['82'],['61.0'],['480'],['5.9'],['27'],['3'],['5'],['6'],['110.0']
MJ Morris,NCSU,['QB'],['41'],['72'],['56.9'],['458'],['6.4'],['62'],['4'],['4'],['5'],['117.6']
Deacon Hill,IOWA,['QB'],['37'],['98'],['37.8'],['427'],['4.4'],['36'],['2'],['3'],['9'],['75.0']
Brendan Sorsby,IU,['QB'],['45'],['88'],['51.1'],['420'],['4.8'],['35'],['3'],['0'],['4'],['102.5']
Justin Lamson,STAN,['QB'],['31'],['65'],['47.7'],['416'],['6.4'],['38'],['0'],['1'],['11'],['98.4']
Jake Strong,TTU,['QB'],['35'],['65'],['53.8'],['409'],['6.3'],['72'],['2'],['6'],['0'],['98.4']
Mason Garcia,ECU,['QB'],['48'],['95'],['50.5'],['408'],['4.3'],['45'],['1'],['2'],['3'],['85.9']
Jaden Rashada,ASU,['QB'],['34'],['60'],['56.7'],['403'],['6.7'],['65'],['3'],['1'],['4'],['126.3']
Katin Houser,MSU,['QB'],['39'],['67'],['58.2'],['392'],['5.9'],['61'],['2'],['2'],['6'],['111.2']
Logan Fife,FRES,['QB'],['31'],['53'],['58.5'],['377'],['7.1'],['29'],['2'],['1'],['5'],['126.9']
Ethan Garbers,UCLA,['QB'],['31'],['46'],['67.4'],['374'],['8.1'],['45'],['3'],['2'],['3'],['148.5']
Braedyn Locke,WIS,['QB'],['37'],['72'],['51.4'],['370'],['5.1'],['32'],['2'],['1'],['2'],['100.9']
Brendan Sullivan,NU,['QB'],['35'],['57'],['61.4'],['368'],['6.5'],['66'],['3'],['2'],['14'],['126.0']
Fernando Mendoza,CAL,['QB'],['31'],['50'],['62.0'],['356'],['7.1'],['48'],['4'],['2'],['4'],['140.2']
Jack Shields,ODU,['QB'],['25'],['47'],['53.2'],['353'],['7.5'],['49'],['2'],['3'],['10'],['117.6']
Blake Murphy,ULM,['QB'],['18'],['33'],['54.5'],['320'],['9.7'],['54'],['1'],['1'],['4'],['139.9']
Jack Salopek,WMU,['QB'],['42'],['63'],['66.7'],['316'],['5.0'],['31'],['1'],['2'],['5'],['107.7']
AJ Bianco,NEV,['QB'],['22'],['34'],['64.7'],['313'],['9.2'],['77'],['2'],['1'],['2'],['155.6']
Miller Moss,USC,['QB'],['23'],['32'],['71.9'],['309'],['9.7'],['71'],['1'],['0'],['0'],['163.3']
Camden Orth,BGSU,['QB'],['29'],['49'],['59.2'],['305'],['6.2'],['42'],['3'],['4'],['3'],['115.3']
Eddie Lee Marburger,UTSA,['QB'],['29'],['47'],['61.7'],['300'],['6.4'],['72'],['3'],['1'],['4'],['132.1']
Emory Williams,MIA,['QB'],['36'],['48'],['75.0'],['295'],['6.1'],['25'],['1'],['1'],['2'],['129.3']
Bert Emanuel Jr.,CMU,['QB'],['19'],['37'],['51.4'],['286'],['7.7'],['56'],['3'],['3'],['6'],['126.8']
Stone Earle,UNT,['QB'],['22'],['40'],['55.0'],['274'],['6.8'],['59'],['4'],['4'],['5'],['125.5']
Drew Pyne,ASU,['QB'],['26'],['49'],['53.1'],['273'],['5.6'],['52'],['2'],['3'],['11'],['101.1']
CJ Harris,OHIO,['QB'],['25'],['49'],['51.0'],['248'],['5.1'],['22'],['2'],['3'],['2'],['94.8']
Carlos Del Rio-Wilson,SYR,['QB'],['19'],['34'],['55.9'],['245'],['7.2'],['48'],['3'],['2'],['2'],['133.8']
Kiael Kelly,BALL,['QB'],['24'],['47'],['51.1'],['234'],['5.0'],['28'],['0'],['1'],['4'],['88.6']
Henry Belin IV,DUKE,['QB'],['13'],['26'],['50.0'],['232'],['8.9'],['69'],['3'],['1'],['2'],['155.3']
J.T. Shrout,ARST,['QB'],['24'],['51'],['47.1'],['227'],['4.5'],['47'],['0'],['2'],['1'],['76.6']
Dylan Morris,WASH,['QB'],['9'],['14'],['64.3'],['224'],['16.0'],['57'],['1'],['1'],['0'],['208.0']
Avery Johnson,KSU,['QB'],['16'],['23'],['69.6'],['222'],['9.7'],['43'],['1'],['0'],['1'],['165.0']
Jeff Sims,NEB,['QB'],['20'],['34'],['58.8'],['220'],['6.5'],['34'],['1'],['4'],['5'],['99.4']
Nicco Marchiol,WVU,['QB'],['25'],['44'],['56.8'],['213'],['4.8'],['29'],['2'],['2'],['5'],['103.4']
Tommy Ulatowski,KENT,['QB'],['19'],['48'],['39.6'],['208'],['4.3'],['43'],['3'],['1'],['2'],['92.4']
Gunnar Gundy,OKST,['QB'],['21'],['34'],['61.8'],['202'],['5.9'],['39'],['1'],['0'],['5'],['121.4']
Doug Brumfield,UNLV,['QB'],['23'],['41'],['56.1'],['201'],['4.9'],['29'],['0'],['2'],['7'],['87.5']
